Age,Fare,Pclass_2,Pclass_3,Sex_male,Embarked_Q,Embarked_S,Titles_Miss,Titles_Mr,Titles_Mrs,Family_Size_1,Family_Size_2,Family_Size_3,Family_Size_4,Family_Size_5,Family_Size_6,Family_Size_7,Family_Size_10
0.35711584520358,0.01650950209357577,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0.483171561830329,0.06104473451835265,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
0.39493256019160466,0.11027245763075773,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
0.747888566746502,0.14687821814567664,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.24366570023950587,0.015468569817999833,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
0.35711584520358,0.013752485706455927,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
0.35711584520358,0.015281580671177828,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0.29408798689020543,0.025374310111545468,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
0.003151392915668726,0.29580589980036276,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.18063784192613136,0.014110458666029575,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.6218328501197529,0.015712553569072387,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
0.9243665700239505,0.015175789316712771,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
0.21845455691415605,0.022446505098674838,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
0.3445102735409051,0.028106928123558056,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.24366570023950587,0.015468569817999833,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
0.24366570023950587,0.015330377421392339,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
0.20584898525148115,0.21642978772242535,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.28148241522753054,0.12366716556464086,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0.26887684356485564,0.056604230248832196,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.5020799193243414,0.015126992566498259,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0.35711584520358,0.015102594191391004,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
